Accepted_name,status,Native_L1,Native_L2,Native_L3,Native_L4,Established_L1,Established_L2,Established_L3,Established_L4,Invasive_L1,Invasive_L2,Invasive_L3,Invasive_L4
Desmanthus virgatus,invasive,"8,7","85,76,81,80,83,84,78,82,79,77","AGE,AGW,ARI,ARU,BAH,BLZ,BER,BOL,BZE,BZS,BZL,BZC,CAY,CLC,CLN,CLM,COS,CUB,DOM,ECU,ELS,FLA,GAL,GUA,GUY,HAI,HON,JAM,LEE,MXC,MXG,MXE,MXN,MXT,MXS,NLA,NIC,PAN,PAR,PER,PUE,SUR,TEX,TRT,TCI,URU,VEN,VNA,WIN",",HAI-HA","2,6,5,3,4","26,60,50,36,29,62,40,38,42,23,41,27","ANG,SAM,NSW,NTA,CHS,CHC,CGS,MRN,IND,EHM,ASS,WHM,4,SRL,MAU,MLY,GGI,SEY,THA,TAI,NAT,REU,ROD","ANG-OO,SAM-AS,NSW-NS,NTA-OO,CHS-GD,CHC-YN,CHS-HK,CGS-OO,MRN-GU,IND-AP,EHM-AP,ASS-AS,IND-BI,IND-CH,IND-CT,IND-DE,IND-GO,IND-GU,IND-HA,WHM-HP,WHM-JK,IND-JK,IND-KT,IND-KE,IND-MR,ASS-MA,IND-MP,ASS-ME,ASS-MI,ASS-NA,IND-OR,000-09,IND-PU,IND-RA,EHM-SI,IND-TN,ASS-TR,WHM-UT,IND-UP,IND-WB,000-04,SRL-OO,MRN-NM,MAU-OO,MLY-SI,000-06,SEY-OO,THA-OO,TAI-OO,NAT-OO,REU-OO,ROD-OO",4,40,IND,""
Desmodium cajanifolium,established,"8,7","83,84,80,82,79,81","BOL,BZN,BZE,BZS,BZL,BZC,CLM,COS,ECU,GUA,GUY,HON,MXE,MXN,MXT,MXS,NIC,PAN,PER,SUR,TRT,VEN,WIN,,MXC",",BZN-AC,BZN-AM,BZE-BA,MXC-DF,BZL-ES,BZC-GO,BZC-MT,BZC-MS,BZL-MG,BZN-PA,BZS-PR,BZL-RJ,BZN-RO,BZN-RM,BZL-SP,BZN-TO","8,4,2,6","81,40,29,63","CUB,SRL,MDG,SEY,HAW","CUB-OO,SRL-OO,MDG-OO,SEY-OO,HAW-HI","","","",""
Desmodium cinereum,established,"8,7","80,79","ELS,HON,MXC,MXG,MXE,MXN,MXT,MXS","",5,50,QLD,QLD-QU,"","","",""
Desmodium distortum,established,"8,7","85,83,84,80,81,82,79","AGE,BOL,BZN,BZE,BZL,BZC,CLM,COS,CUB,ECU,FRG,GUA,GUY,HON,MXC,MXG,MXE,MXN,MXT,MXS,NIC,PAN,PAR,PER,SUR,VEN","",2,"22,29,24","BEN,IVO,MAU,NGA,CHA","BEN-OO,IVO-OO,MAU-OO,NGA-OO,CHA-OO","","","",""
Desmodium illinoense,established,7,"76,74,75,72","ARI,ILL,INI,IOW,KAN,MIN,MSO,ONT,WIS","",3,38,4,000-04,"","","",""
Desmodium incanum,invasive,"8,7","85,80,83,84,81,82,79,78","AGE,AGW,BLZ,BOL,BZN,BZE,BZS,BZL,BZC,CAY,CPI,CLM,COS,CUB,DOM,ECU,ELS,FRG,GAL,GUY,HAI,HON,JAM,LEE,MXC,MXG,MXE,MXN,MXT,MXS,NLA,NIC,PAN,PAR,PER,PUE,SCA,SWC,SUR,TRT,TCI,URU,VEN,VNA,WIN,GUA",",HAI-HA,LEE-AB,WIN-BA,LEE-BV,NLA-CU,WIN-DO,WIN-GR,LEE-GU,WIN-MA,LEE-MO,LEE-SK,WIN-SL,LEE-VI,BZE-MA,BZC-MT,BZC-MS,BZN-PA","6,5,8,2,3,7","60,50,84,61,23,62,38,29,28,25,78,63","SAM,QLD,BZN,BZE,BZC,BZL,BZS,COO,TOK,FIJ,GAB,EQG,MRN,4,MDG,MRS,MAU,NFK,MRQ,ASC,STH,GGI,SEY,TON,TAN,ALA,HAW,REU,ROD","SAM-AS,QLD-QU,BZN-AC,BZE-AL,BZN-AM,BZN-AP,BZE-BA,BZE-CE,BZC-DF,BZL-ES,BZC-GO,BZE-MA,BZL-MG,BZC-MS,BZC-MT,BZN-PA,BZE-PB,BZE-PE,BZE-PI,BZS-PR,BZL-RJ,BZE-RN,BZN-RO,BZN-RM,BZS-RS,BZS-SC,BZE-SE,BZL-SP,BZN-TO,COO-OO,TOK-MA,FIJ-OO,GAB-OO,EQG-OO,MRN-GU,000-04,MDG-OO,MRS-OO,MRN-NM,MAU-OO,NFK-NI,MRQ-OO,ASC-OO,STH-OO,000-06,SEY-OO,TON-OO,TAN-OO,ALA-OO,HAW-HI,REU-OO,ROD-OO","2,3,7,6,5,4,8","29,38,78,63,77,50,61,62,60,43,84,85","REU,JAP,FLA,GEO,HAW,TEX,QLD,COO,CRL,FIJ,,LIN,MRS,NUE,NFK,MRN,SOL,TON,WAL,BZE,BZC,BZN,URU",",CRL-MF,LIN-KI,MRN-NM,CRL-PA,BZE-MA,BZC-MT,BZC-MS,BZN-PA"
Desmodium intortum,invasive,"7,8","76,80,83,81,79,82","ARI,BLZ,BOL,CLM,COS,DOM,ECU,ELS,GAL,GUA,HAI,HON,JAM,MXC,MXG,MXE,MXN,MXT,MXS,NIC,PAN,PER,PUE,VEN",",HAI-HA","2,5,3,6","26,50,24,38,23,28,63,29","ANG,NSW,QLD,ETH,4,RWA,STH,TAI,HAW,REU","ANG-OO,NSW-NS,QLD-QU,ETH-OO,000-04,RWA-OO,STH-OO,TAI-OO,HAW-HI,REU-OO","4,2","43,26","NWG,ZAM",NWG-PN
Desmodium leiocarpum,established,8,"85,83,84","AGE,BOL,BZN,BZE,BZS,BZL,BZC,PAR","",2,29,MDG,MDG-OO,"","","",""
Desmodium obtusum,established,"7,8","78,81,74,75,77","ALA,ARK,CUB,FLA,GEO,ILL,LOU,MAI,MSO,NWJ,NWY,NCA,OKL,SCA,TEN,TEX,VRG","",3,38,4,000-04,"","","",""
Desmodium ospriostreblum,established,"2,3","26,22,23,21,24,35,25","ANG,BEN,BKN,CMN,CVI,CHA,ERI,ETH,GHA,GNB,GGI,MLW,MLI,MOZ,NGR,NGA,OMA,SEN,SIE,SUD,TAN,TOG,YEM,ZAM,ZIM","",2,"29,24","MDG,CHA","MDG-OO,CHA-OO","","","",""
Desmodium paniculatum,invasive,7,"78,74,75,77","ALA,ARK,DEL,FLA,GEO,ILL,INI,KTY,LOU,MAI,MRY,MAS,MIN,MSI,NWY,NCA,OHI,OKL,PEN,SCA,TEN,TEX,VER,VRG,WVA","",3,38,4,000-04,3,38,JAP,""
Desmodium procumbens,established,"8,7","85,76,81,83,84,80,79,77,82","AGW,ARI,ARU,BOL,BZN,BZE,BZS,BZL,BZC,CLM,COS,DOM,ECU,ELS,GAL,GUA,HAI,HON,JAM,LEE,MXC,MXG,MXE,MXN,MXT,MXS,NLA,NWM,NIC,PAN,PER,PUE,SUR,TEX,TRT,VEN,VNA,WIN",",HAI-HA","2,7,4","23,79,42,22","EQG,MXI,PHI,SIE,GGI","EQG-OO,MXI-RG,PHI-OO,SIE-OO,000-06","","","",""
Desmodium psilocarpum,established,7,"76,79,77","ARI,MXE,MXN,NWM","",2,26,ZAM,ZAM-OO,"","","",""
Desmodium scorpiurus,invasive,"7,8","76,81,80,83,84,78,82,79","ARI,ARU,BLZ,BOL,BZN,BZE,BZL,BZC,CLM,COS,CUB,DOM,ECU,ELS,FLA,FRG,GUA,GUY,HAI,HON,JAM,LEE,MXC,MXG,MXE,MXN,MXT,MXS,NIC,PAN,PER,PUE,TRT,VEN,VNA,WIN",",HAI-HA","5,2,3,7","50,22,36,23,38,24,78","NTA,QLD,WAU,BEN,CHS,GAB,4,CHA,TAI,FLA","NTA-OO,QLD-QU,WAU-WA,BEN-OO,CHS-HK,GAB-OO,000-04,CHA-OO,TAI-OO,FLA-OO",4,43,SOL,""
Desmodium subsecundum,established,8,"85,84","AGE,BZN,BZE,BZS,BZL,BZC","",2,26,ANG,ANG-OO,"","","",""
Desmodium tenuifolium,established,7,78,"ALA,FLA,GEO,LOU,MSI,NCA,SCA,VRG","",7,78,MRY,MRY-OO,"","","",""
Desmodium tortuosum,invasive,"7,8","78,85,81,80,83,84,79,82","ALA,AGE,AGW,BAH,BLZ,BOL,BZN,BZE,BZS,BZL,BZC,CAY,CLM,DOM,ECU,ELS,GUA,HAI,HON,JAM,LEE,MXC,MXG,MXE,MXN,MXT,MXS,NIC,PAN,PAR,PER,PUE,TRT,VEN,VNA,WIN",",HAI-HA","2,8,6,5,3,4,7","26,85,60,50,36,61,81,23,29,22,62,42,40,38,25,78,63,77","ANG,AGE,AGW,SAM,NTA,QLD,WAU,CHS,COO,CUB,GAB,CGS,GNB,EQG,MRN,2,IND,4,SRL,MDG,MAU,NFK,GGI,TON,TAI,TAN,ALA,ARK,FLA,GEO,HAW,LOU,MSI,NCA,SCA,TEX,ZIM,REU","ANG-OO,AGE-CN,AGW-JU,AGE-MI,AGW-SA,AGW-TU,SAM-AS,NTA-OO,QLD-QU,WAU-WA,CHS-GD,CHS-HK,COO-OO,CUB-OO,GAB-OO,CGS-OO,GNB-OO,EQG-OO,MRN-GU,000-02,IND-GU,IND-KT,IND-KE,IND-MR,IND-OR,IND-TN,IND-UP,000-04,SRL-OO,MDG-OO,MRN-NM,MAU-OO,NFK-NI,000-06,TON-OO,TAI-OO,TAN-OO,ALA-OO,ARK-OO,FLA-OO,GEO-OO,HAW-HI,LOU-OO,MSI-OO,NCA-OO,SCA-OO,TEX-OO,ZIM-OO,REU-OO","6,4","62,43,42","CRL,NWG,LSI","CRL-MF,NWG-PN,LSI-ET"
Desmodium uncinatum,invasive,"8,7","85,83,84,80,79,82","AGE,AGW,BOL,BZN,BZE,BZS,BZL,BZC,CLM,COS,ECU,ELS,GAL,GUA,HON,MXC,MXG,MXE,MXN,MXT,MXS,NIC,PAR,PER,URU,VEN","","2,5,4,6,3","26,50,23,24,42,25,41,60,38,61,63","ANG,NSW,QLD,BUR,ETH,2,KEN,THA,TON,TAI,TAN,ZIM,4,MRQ,HAW","ANG-OO,NSW-NS,QLD-QU,BUR-OO,ETH-OO,000-02,KEN-OO,THA-OO,TON-OO,TAI-OO,TAN-OO,ZIM-OO,000-04,MRQ-OO,HAW-HI","2,4","25,26,43","KEN,MLW,TAN,ZAM,NWG",",NWG-PN"
Desmostachya bipinnata,invasive,"3,2,4","34,20,41,40,23,24,35,36,25,22","AFG,ALG,AND,ASS,BAN,CBD,CAF,CHA,EGY,ERI,ETH,GST,CHH,IND,IRN,IRQ,KEN,LAO,LBS,LBY,MTN,MOR,MYA,NEP,NGR,OMA,PAK,PAL,SAU,SIN,SOC,SOM,SUD,TAN,THA,TUN,UGA,VIE,WHM,YEM",",AND-AN,ASS-AS,MOR-MO,IND-BI,IND-DE,IND-GU,IND-HA,WHM-HP,WHM-JK,IND-KT,IND-MP,IND-MR,ASS-ME,IND-OR,IND-PU,IND-RA,IND-TN,IND-UP,IND-WB,PAL-IS,PAL-JO",4,42,CKI,CKI-OO,4,"41,40","CBD,IND,MYA",""
Deutzia crenata,established,3,38,JAP,"","5,3,7","50,36,78,51","NSW,CHS,CHN,CHC,GEO,NZS","NSW-NS,CHS-JS,CHS-ZJ,CHS-AH,CHS-FJ,CHN-SD,CHC-HU,CHC-YN,GEO-OO,NZS-OO","","","",""
Deutzia gracilis,established,3,38,JAP,"","7,3","78,33","ALA,GEO,MRY,TCS","ALA-OO,GEO-OO,MRY-OO,TCS-AR","","","",""
Deutzia parviflora,established,3,"36,31,38","CHN,CHC,CHS,CHI,KHA,KOR,CHM,PRM","",7,78,GEO,GEO-OO,"","","",""
Deutzia scabra,invasive,3,38,JAP,"","1,7,0,3","12,10,13,78,75,74,76,102,33","FRA,GRB,ITA,YUG,ARK,CNT,WDC,FLA,ILL,KTY,MAS,MRY,MIC,NCA,NWJ,NWY,PEN,RHO,TEN,UTA,VRG,VER,WVA,28,TCS","FRA-FR,GRB-OO,ITA-IT,YUG-SL,ARK-OO,CNT-OO,WDC-OO,FLA-OO,ILL-OO,KTY-OO,MAS-OO,MRY-OO,MIC-OO,NCA-OO,NWJ-OO,NWY-OO,PEN-OO,RHO-OO,TEN-OO,UTA-OO,VRG-OO,VER-OO,WVA-OO,000-29,TCS-AR",7,"","",""
Deutzia x magnifica,established,"","","","",7,78,WDC,WDC-OO,"","","",""
Dianella caerulea,established,"4,5","43,50","NWG,NSW,QLD,TAS",",NSW-NS,QLD-QU",6,63,HAW,HAW-HI,"","","",""
Dianella ensifolia,established,"4,3,2","40,42,41,36,38,29,26,43","ASS,BAN,BOR,CBD,CHC,CHS,EHM,CHH,JAP,JAW,LAO,LSI,MDG,MLY,MOL,MAU,MOZ,MYA,NNS,NEP,NWG,OGA,PHI,REU,SEY,SOL,SRL,SUL,SUM,TAI,THA,VIE,ZIM",",ASS-AS,LSI-LS",7,78,FLA,FLA-OO,"","","",""
Dianthera comata,established,"8,7","85,80,83,84,81,82,79","AGE,AGW,BLZ,BOL,BZN,BZE,BZS,BZL,BZC,CLM,COS,CUB,DOM,ECU,ELS,FRG,GUA,GUY,HAI,HON,JAM,MXC,MXG,MXE,MXT,MXS,NIC,PAN,PAR,PER,PUE,SUR,TRT,URU,VEN",",HAI-HA","3,4","36,38,43","CHS,TAI,29","CHS-HK,TAI-OO,000-34","","","",""
Dianthera pectoralis,established,"8,7","85,80,83,84,78,82,79","AGE,BLZ,BOL,BZN,BZE,BZC,CLM,COS,ECU,ELS,FLA,FRG,GUA,GUY,HON,MXC,MXG,MXE,MXT,MXS,NIC,PAN,PAR,PER,SUR,VEN,",",BZN-AC,BZN-AM,BZE-CE,BZE-MA,BZC-MT,BZN-PA,BZN-RO,BZN-RM","8,7","81,78","LEE,WIN,HAI,PUE,FLA","LEE-AB,LEE-SM,WIN-BA,WIN-DO,WIN-GR,HAI-HA,LEE-SK,WIN-SL,WIN-MA,PUE-OO,FLA-OO,LEE-VI,WIN-SV","","","",""
Dianthera secunda,established,8,"84,83,82,81,80","BZN,CLM,ECU,FRG,GUY,LEE,PAN,SUR,TRT,VEN,VNA,WIN","",2,23,GAB,GAB-OO,"","","",""
Dianthus armeria,invasive,"1,3","13,11,14,12,10,34,33","ALB,AUT,BLT,BLR,BGM,BUL,COR,CZE,DEN,FRA,GER,GRB,GRC,HUN,IRN,ITA,KRY,NET,NCS,POL,POR,ROM,SAR,SIC,RUS,SPA,SWE,SWI,TCS,TUR,TUE,UKR,YUG",",AUT-AU,BGM-BE,FRA-FR,ITA-IT,SIC-SI,SPA-SP,UKR-UK","8,5,7,1,3,6","85,50,71,72,10,38,51,78,76,73,75,63,74,77,11","AGS,NSW,TAS,VIC,BRC,NBR,NFL,NSC,ONT,PEI,QUE,CLC,GRB,4,5,SWE,ALA,ARK,CAL,COL,CNT,WDC,DEL,FLA,GEO,HAW,IOW,IDA,ILL,INI,KAN,KTY,LOU,MAS,MRY,MAI,MIC,MIN,MSO,MSI,MNT,NCA,NEB,NWH,NWJ,NWM,NEV,NWY,OHI,OKL,ORE,PEN,RHO,SCA,SDA,TEN,TEX,UTA,VRG,VER,WAS,WIS,WVA,WYO,NZN,NZS,GER","AGS-CB,NSW-NS,TAS-OO,VIC-OO,BRC-OO,NBR-OO,NFL-NE,NSC-OO,ONT-OO,PEI-OO,QUE-OO,CLC-LA,GRB-OO,000-04,000-05,SWE-OO,ALA-OO,ARK-OO,CAL-OO,COL-OO,CNT-OO,WDC-OO,DEL-OO,FLA-OO,GEO-OO,HAW-HI,IOW-OO,IDA-OO,ILL-OO,INI-OO,KAN-OO,KTY-OO,LOU-OO,MAS-OO,MRY-OO,MAI-OO,MIC-OO,MIN-OO,MSO-OO,MSI-OO,MNT-OO,NCA-OO,NEB-OO,NWH-OO,NWJ-OO,NWM-OO,NEV-OO,NWY-OO,OHI-OO,OKL-OO,ORE-OO,PEN-OO,RHO-OO,SCA-OO,SDA-OO,TEN-OO,TEX-OO,UTA-OO,VRG-OO,VER-OO,WAS-OO,WIS-OO,WVA-OO,WYO-OO,NZN-OO,NZS-OO,GER-OO",7,"","",""
Dianthus barbatus,invasive,"1,3","11,13,12,38,36,31,14","AUT,BUL,CZE,FRA,HUN,ITA,KOR,CHM,POL,PRM,ROM,SPA,TUE,UKR,YUG",",AUT-AU,FRA-FR,ITA-IT,SPA-SP,UKR-UK","5,7,1,3,6,4,8","50,71,72,11,10,14,38,79,62,51,42,12,30,70,78,76,75,74,73,77,33,83","NSW,ABT,BRC,MAN,NBR,NFL,NSC,ONT,QUE,SAS,CZE,DEN,BLT,GRB,IRE,HUN,4,MXT,MXG,MRN,NOR,5,PHI,POL,POR,RUW,RUC,IRK,WSB,BRY,SWE,UKR,ASK,ALA,ARK,CAL,CNT,DEL,GEO,IOW,IDA,ILL,INI,KAN,KTY,LOU,MAS,MRY,MAI,MIC,MIN,MSO,MNT,NCA,NEB,NWH,NWJ,NWY,OHI,ORE,PEN,RHO,SCA,TEN,TEX,UTA,VRG,VER,WAS,WIS,WVA,WYO,TCS,BOL,NZN,NZS,GER","NSW-NS,ABT-OO,BRC-OO,MAN-OO,NBR-OO,NFL-NE,NSC-OO,ONT-OO,QUE-OO,SAS-OO,CZE-CZ,DEN-OO,BLT-ES,GRB-OO,IRE-NI,HUN-OO,000-04,BLT-LI,BLT-LA,MXT-CI,MXG-VC,MRN-NM,NOR-OO,000-05,PHI-OO,POL-OO,POR-OO,RUW-OO,RUC-OO,IRK-OO,WSB-OO,BRY-OO,SWE-OO,UKR-UK,ASK-OO,ALA-OO,ARK-OO,CAL-OO,CNT-OO,DEL-OO,GEO-OO,IOW-OO,IDA-OO,ILL-OO,INI-OO,KAN-OO,KTY-OO,LOU-OO,MAS-OO,MRY-OO,MAI-OO,MIC-OO,MIN-OO,MSO-OO,MNT-OO,NCA-OO,NEB-OO,NWH-OO,NWJ-OO,NWY-OO,OHI-OO,ORE-OO,PEN-OO,RHO-OO,SCA-OO,TEN-OO,TEX-OO,UTA-OO,VRG-OO,VER-OO,WAS-OO,WIS-OO,WVA-OO,WYO-OO,TCS-AR,BOL-OO,NZN-OO,NZS-OO,GER-OO",7,"","",""
Dianthus campestris,established,"1,3","14,32,33,13,30","RUC,RUE,KAZ,KRY,NCS,ROM,RUS,UKR,WSB",",UKR-UK",1,14,"BLR,BLT","BLR-OO,BLT-LA","","","",""
Dianthus carthusianorum,established,1,"13,11,14,12","ALB,AUT,BLR,BGM,BUL,CZE,FRA,GER,HUN,ITA,POL,ROM,SIC,SPA,SWI,UKR,YUG",",AUT-AU,BGM-BE,FRA-FR,ITA-IT,SIC-SI,SPA-SP,UKR-UK","1,7","10,75,74","NOR,SWE,MIC,NWH,NWY,WIS","NOR-OO,SWE-OO,MIC-OO,NWH-OO,NWY-OO,WIS-OO","","","",""
Dianthus caryophyllus,established,1,13,"ALB,GRC,YUG","","1,7,4","12,10,79,42,78,75","COR,FRA,GRB,IRE,MXT,MXS,MXC,MXN,MXE,PHI,ARK,MAS,OHI","COR-OO,FRA-FR,GRB-OO,IRE-NI,FRA-CI,MXT-CI,MXS-GR,MXC-MO,MXS-NA,MXC-PU,MXN-SI,MXE-SL,PHI-OO,ARK-OO,MAS-OO,OHI-OO","","","",""
Dianthus chinensis,established,"3,4,1","30,31,40,14,36,32,38,37,41","ALT,AMU,ASS,BRY,RUC,CHN,CHS,CTA,RUE,EHM,IND,CHI,IRK,KAZ,KHA,KOR,KRA,KRY,CHM,,MON,NEP,RUW,PRM,CHQ,RUS,TKM,TVA,UKR,VIE,WSB,CHX,YAK",",ASS-AS,UKR-UK","7,6,3,4,1","72,60,38,79,42,14,31,75","ONT,FIJ,4,MXT,MXE,MXC,PHI,RUW,MAG,MIC,OHI","ONT-OO,FIJ-OO,000-04,MXT-CI,MXE-HI,MXC-MO,PHI-OO,RUW-OO,MAG-OO,MIC-OO,OHI-OO","","","",""
Dianthus cruentus,established,"1,3","13,34,33","ALB,BUL,GRC,IRN,TCS,TUR,TUE,YUG","",1,10,SWE,SWE-OO,"","","",""
Dianthus deltoides,invasive,"1,3","13,30,11,14,10,12","ALB,ALT,AUT,BLT,BLR,BGM,BUL,BRY,RUC,CZE,DEN,RUE,FIN,FRA,GER,GRB,GRC,HUN,IRK,ITA,KRA,NET,RUN,RUW,NOR,POL,ROM,SIC,RUS,SPA,SWE,SWI,UKR,WSB,YUG",",AUT-AU,BGM-BE,FRA-FR,ITA-IT,SIC-SI,SPA-SP,UKR-UK","7,3,5,1","71,72,38,51,10,76,73,75,78,74","ABT,BRC,NBR,NSC,ONT,PEI,QUE,SAS,4,5,SWE,CAL,COL,CNT,WDC,IDA,ILL,KAN,MAS,MRY,MAI,MIC,MIN,MSO,MNT,NCA,NWH,NWJ,NWY,OHI,ORE,PEN,RHO,UTA,VRG,VER,WAS,WIS,WVA,WYO,NZS","ABT-OO,BRC-OO,NBR-OO,NSC-OO,ONT-OO,PEI-OO,QUE-OO,SAS-OO,000-04,000-05,SWE-OO,CAL-OO,COL-OO,CNT-OO,WDC-OO,IDA-OO,ILL-OO,KAN-OO,MAS-OO,MRY-OO,MAI-OO,MIC-OO,MIN-OO,MSO-OO,MNT-OO,NCA-OO,NWH-OO,NWJ-OO,NWY-OO,OHI-OO,ORE-OO,PEN-OO,RHO-OO,UTA-OO,VRG-OO,VER-OO,WAS-OO,WIS-OO,WVA-OO,WYO-OO,NZS-OO",7,"","",""
Dianthus giganteus,established,"1,3","13,34","BUL,EAI,GRC,ROM,TUE,YUG","",1,11,"BGM,GER","BGM-BE,GER-OO","","","",""
Dianthus gratianopolitanus,established,1,"11,12,10,14","BGM,CZE,FRA,GER,GRB,POL,SWI,UKR",",BGM-BE,FRA-FR,UKR-UK",1,10,GRB,GRB-OO,"","","",""
Dianthus hyssopifolius subsp. gallicus,established,1,12,"FRA,SPA",",FRA-FR,SPA-SP",1,12,FRA,FRA-CI,"","","",""
Dianthus nudiflorus,established,"3,1,2,4","34,13,20,24,12,32,14,33,40,35","AFG,ALB,ALG,BUL,CYP,DJI,EAI,FRA,GRC,IRN,IRQ,ITA,KAZ,KGZ,KRI,KRY,LBS,MOR,NCS,PAK,PAL,POR,SAU,SIC,SPA,TZK,TCS,TUN,TUR,TUE,TKM,UZB,YUG",",FRA-FR,ITA-IT,MOR-MO,SIC-SI,SPA-SP","1,7","13,78,76","BUL,ALA,CAL","BUL-OO,ALA-OO,CAL-OO","","","",""
Dianthus plumarius,invasive,1,"11,13","AUT,HUN,ITA,YUG",",AUT-AU,ITA-IT","7,8,1,5","71,72,70,80,10,51,78,76,73,75,74,83,11","ABT,BRC,NSC,ONT,QUE,YUK,COS,GRB,IRE,5,ALA,CAL,COL,CNT,ILL,INI,KTY,MAS,MRY,MAI,MIC,MSO,NCA,NDA,NWH,NWY,OHI,PEN,SCA,VRG,VER,WIS,BOL,NZS,GER","ABT-OO,BRC-OO,NSC-OO,ONT-OO,QUE-OO,YUK-OO,COS-OO,GRB-OO,IRE-NI,000-05,ALA-OO,CAL-OO,COL-OO,CNT-OO,ILL-OO,INI-OO,KTY-OO,MAS-OO,MRY-OO,MAI-OO,MIC-OO,MSO-OO,NCA-OO,NDA-OO,NWH-OO,NWY-OO,OHI-OO,PEN-OO,SCA-OO,VRG-OO,VER-OO,WIS-OO,BOL-OO,NZS-OO,GER-OO",7,"","",""
Dianthus seguieri,established,1,"12,13,11","FRA,ITA,SPA,SWI",",FRA-FR,ITA-IT,SPA-SP",7,71,ABT,ABT-OO,"","","",""
Dianthus subacaulis,established,1,12,FRA,",FRA-FR",1,11,BGM,BGM-BE,"","","",""
Dianthus sylvestris,established,"1,2","13,20,11,12","ALB,ALG,AUT,FRA,GER,GRC,MOR,SPA,SWI,YUG",",AUT-AU,FRA-FR,MOR-MO,SPA-SP","3,7","36,73,75","CHN,CHI,COL,MIC","CHN-HB,CHN-SX,CHI-NM,COL-OO,MIC-OO","","","",""
Dianthus trifasciculatus subsp. pseudobarbatus,established,1,"13,14","BUL,ROM,UKR,YUG",",UKR-UK",1,14,UKR,UKR-UK,"","","",""
Dianthus zeyheri,established,2,"26,27","ANG,BOT,CPP,NAT,TVL","",2,26,ZAM,ZAM-OO,"","","",""
Diaperia prolifera,established,7,"78,73,74,77","ALA,ARK,COL,KAN,LOU,MSI,MSO,MNT,NEB,NWM,OKL,SDA,TEX,WYO","",7,"78,74","ALA,MSO,SCA","ALA-OO,MSO-OO,SCA-OO","","","",""
Diaperia verna,established,7,"78,76,79,77,74","ALA,ARI,ARK,GEO,LOU,MXE,MXN,NWM,OKL,SCA,TEX","",7,78,"ALA,GEO,SCA","ALA-OO,GEO-OO,SCA-OO","","","",""
Diaperia verna var. drummondii,established,7,"78,77","ALA,TEX","",7,78,ALA,ALA-OO,"","","",""
Diascia barberae,established,2,27,"OFS,NAT,LES","",2,21,MDR,MDR-OO,"","","",""
Dicentra eximia,established,7,"78,75","KTY,MRY,NWJ,NWY,NCA,PEN,TEN,VRG,WVA","","1,7","10,74,75,11","GRB,ILL,MAS,MIC,OHI,RHO,VER,GER","GRB-OO,ILL-OO,MAS-OO,MIC-OO,OHI-OO,RHO-OO,VER-OO,GER-OO","","","",""
Dicentra formosa,established,7,"71,76,73","BRC,CAL,ORE,WAS","","1,7","11,10,75,74","BGM,GRB,IRE,NOR,SWE,MAS,MSO,NWY,GER","BGM-BE,GRB-OO,IRE-NI,NOR-OO,SWE-OO,MAS-OO,MSO-OO,NWY-OO,GER-OO","","","",""
Dichaea fragrantissima,established,8,80,PAN,"",8,80,NIC,NIC-OO,"","","",""
Dichanthelium aciculare,established,"7,8","78,81,80,83,74,75,79,77,82","ALA,ARK,BAH,BLZ,CLM,CUB,DEL,WDC,DOM,ELS,FLA,GEO,GUA,HAI,HON,ILL,INI,JAM,KTY,LOU,MRY,MXG,MXE,MXT,MXS,MSI,NWJ,NWY,NIC,NCA,OKL,PEN,PUE,SCA,TEN,TEX,VEN,VRG,WVA",",HAI-HA","8,7","80,74","NIC,MIN","NIC-OO,MIN-OO","","","",""
Dichanthelium acuminatum,established,"7,8","78,80,83,75,81,79,77,82","ALA,ARK,BLZ,CLM,CNT,COS,CUB,DEL,WDC,DOM,ECU,ELS,FLA,GEO,GUA,HAI,HON,JAM,LOU,MRY,MAS,MXC,MXG,MXE,MXT,MXS,MSI,NWH,NWJ,NWY,NIC,NCA,PAN,PEN,PUE,RHO,SCA,TEX,VEN,VER,VRG,WVA",",HAI-HA","7,8","72,80","NFL,NIC","NFL-NE,NIC-OO","","","",""
Dichanthelium dichotomum,established,"7,8","78,80,75,74,79,72,77","ALA,ARK,BLZ,CNT,DEL,WDC,FLA,GEO,GUA,HON,ILL,INI,IOW,KTY,LOU,MAI,MRY,MAS,MXC,MXG,MXE,MXT,MXS,MIC,MIN,MSI,MSO,NBR,NWH,NWJ,NWY,NIC,NCA,OHI,OKL,ONT,PEN,RHO,SCA,TEN,TEX,VER,VRG,WVA,WIS","",7,74,"MIN,WIS","MIN-OO,WIS-OO","","","",""
Dichanthelium ensifolium,established,"7,8","78,80,81,79,75,77","ALA,ARK,BLZ,CUB,DEL,WDC,FLA,GEO,HON,LOU,MRY,MXE,MXT,MSI,NWJ,NIC,NCA,SCA,TEN,TEX,VRG","",8,80,NIC,NIC-OO,"","","",""
Dichanthelium laxiflorum,established,"7,8","78,80,81,74,75,79,77","ALA,ARK,COS,CUB,WDC,DOM,ELS,FLA,GEO,GUA,HAI,HON,ILL,INI,KTY,LOU,MRY,MXC,MXG,MXE,MXT,MXS,MSI,MSO,NIC,NCA,OHI,OKL,PEN,RHO,SCA,TEN,TEX,VRG,WVA",",HAI-HA",3,38,4,000-04,"","","",""
