Accepted_name,status,Native_L1,Native_L2,Native_L3,Native_L4,Established_L1,Established_L2,Established_L3,Established_L4,Invasive_L1,Invasive_L2,Invasive_L3,Invasive_L4
Neptunia prostrata,established,"","","","","2,5,8,4,3,7","26,50,83,42,38,27,78","ANG,QLD,CLM,2,4,NAM,MLY,ARK","ANG-OO,QLD-QU,CLM-OO,000-02,000-04,NAM-OO,MLY-SI,ARK-OO","","","",""
Neptunia triquetra,established,"","","","",3,38,4,000-04,"","","",""
Nerine bowdenii,established,2,27,"CPP,OFS,NAT","",5,50,WAU,WAU-WA,"","","",""
Nerine filifolia,established,2,27,"CPP,OFS","","5,2","50,27","NSW,SWZ","NSW-NS,SWZ-OO","","","",""
Nerine sarniensis,established,2,27,CPP,"",2,21,"MDR,AZO","MDR-OO,AZO-OO","","","",""
Nerine undulata,established,2,27,CPP,"",5,50,VIC,VIC-OO,"","","",""
Nerium oleander,invasive,"3,1,2,4","34,13,20,12,35,40,41,22,24,36,42,21","AFG,ALB,ALG,BAL,COR,CYP,EAI,FRA,GRC,GST,IND,IRN,IRQ,ITA,LBS,LBY,MOR,MYA,NEP,NGR,OMA,PAK,PAL,POR,SAR,SIC,SPA,TUN,TUR,TUE,WHM,YUG,ETH,,CHC,JAW,MLY,CNY",",FRA-FR,ITA-IT,MOR-MO,SIC-SI,SPA-SP,CHC-YN,WHM-JK,IND-PU,PAL-IS,PAL-JO,LBS-LB,LBS-SY,GST-UA,YUG-CR,SIC-MA","5,8,3,2,6,7,4","50,81,36,22,23,24,60,62,38,20,79,27,80,51,42,21,61,35,29,78,76,63,77,83","NSW,QLD,SOA,VIC,WAU,LEE,BER,WIN,CHH,IVO,CMN,ZAI,CUB,CAY,ETH,FIJ,EQG,MRN,4,MOR,MXE,MXN,MXT,MXC,MXS,MXG,NAM,NIC,5,PHI,PUE,MDR,SCI,GST,RWA,SEN,SOM,GGI,SEY,CHA,ALA,ARI,CAL,FLA,GEO,HAW,LOU,MSI,NCA,NWM,SCA,TEX,UTA,6,CPP,NAT,TVL,KER,AZO,ECU,BOL,NZN,PER","NSW-NS,QLD-QU,SOA-OO,VIC-OO,WAU-WA,LEE-SM,BER-OO,WIN-BA,CHH-OO,IVO-OO,CMN-OO,ZAI-OO,CUB-OO,CAY-OO,WIN-DO,ETH-OO,FIJ-OO,EQG-OO,MRN-GU,000-04,WIN-SL,MOR-MO,MXE-AG,000-08,MXT-CA,MXE-CU,MXT-CI,MXE-CO,MXC-DF,MXS-GR,MXE-HI,MXC-ME,MXS-MI,MXC-MO,MXS-NA,MXE-NL,MXS-OA,MXC-PU,MXE-QU,MXT-QR,MXN-SI,MXE-SL,MXN-SO,MXT-TB,MXE-TA,MXG-VC,MXT-YU,MXE-ZA,MRN-NM,WIN-MA,NAM-OO,NIC-OO,000-05,PHI-OO,PUE-OO,MDR-OO,SCI-OO,GST-QA,RWA-OO,SEN-OO,SOM-OO,000-06,SEY-OO,CHA-OO,ALA-OO,ARI-OO,CAL-OO,FLA-OO,GEO-OO,HAW-HI,LOU-OO,MSI-OO,NCA-OO,NWM-OO,SCA-OO,TEX-OO,UTA-OO,LEE-VI,WIN-SV,LEE-BV,000-07,CPP-EC,NAT-OO,TVL-MP,CPP-WC,KER-OO,MXN-BC,MXN-BS,AZO-OO,ECU-OO,BOL-OO,NZN-OO,PER-OO","2,6,5,8,7","27,29,63,50,60,51,85",",HAW,VIC,WAU,FIJ,NUE",""
Nertera granadensis,established,"5,8,4,9,6,3,2,7","51,85,43,83,42,80,81,90,63,38,29,79,50,60,61,82,41","ATP,AGS,BIS,BOL,BOR,CLC,CLS,CLM,COS,CUB,DOM,ECU,ELS,FAL,GUA,HAI,HAW,HON,JAM,JAP,JAW,JNF,MDG,MLY,MOL,MXC,MXG,MXE,MXT,MXS,NWG,NSW,NZN,NZS,NIC,PAN,PER,PHI,SAM,SCI,SOA,SSA,SUL,SUM,TAI,TAS,TDC,VAN,VEN,VIC,VIE",",HAI-HA,NSW-NS,SAM-WS",1,10,GRB,GRB-OO,"","","",""
Neslia paniculata,invasive,"3,1,2,4","34,13,20,30,31,11,12,14,10,36,32,35,37,33,40","AFG,ALB,ALG,ALT,AMU,AUT,BAL,BLT,BLR,BUL,BRY,RUC,CTA,COR,CYP,CZE,DEN,EAI,RUE,EGY,FRA,GER,GRC,HUN,CHI,IRN,IRQ,IRK,ITA,KAM,KAZ,KHA,KGZ,KRA,KRI,KRY,KUW,LBS,LBY,MAG,CHM,,MON,MOR,NCS,RUW,OMA,PAK,PAL,POL,POR,PRM,ROM,SAK,SAR,SAU,SIC,SIN,RUS,SPA,SWE,SWI,TZK,TCS,TUN,TUR,TUE,TKM,TVA,UKR,UZB,WHM,WSB,CHX,YAK,YUG",",AUT-AU,FRA-FR,ITA-IT,MOR-MO,SIC-SI,SPA-SP,UKR-UK","8,5,7,1,3","85,50,71,72,70,10,38,31,14,30,75,74,73,37","AGE,AGS,SOA,VIC,ABT,BRC,LAB,MAN,NBR,NFL,NSC,NWT,ONT,PEI,QUE,SAS,YUK,DEN,4,KOR,NOR,KHA,MAG,RUC,ALT,IRK,WSB,BRY,KRA,SWE,ASK,CNT,IOW,IDA,ILL,INI,MAS,MAI,MIC,MIN,MSO,MNT,NDA,NWH,NWJ,NWY,OHI,ORE,PEN,SDA,VER,WAS,WIS,MON","AGE-BA,AGS-RN,SOA-OO,VIC-OO,ABT-OO,BRC-OO,LAB-OO,MAN-OO,NBR-OO,NFL-NE,NSC-OO,NWT-OO,ONT-OO,PEI-OO,QUE-OO,SAS-OO,YUK-OO,DEN-OO,000-04,KOR-SK,NOR-OO,KHA-OO,MAG-OO,RUC-OO,ALT-OO,IRK-OO,WSB-OO,BRY-OO,KRA-OO,SWE-OO,ASK-OO,CNT-OO,IOW-OO,IDA-OO,ILL-OO,INI-OO,MAS-OO,MAI-OO,MIC-OO,MIN-OO,MSO-OO,MNT-OO,NDA-OO,NWH-OO,NWJ-OO,NWY-OO,OHI-OO,ORE-OO,PEN-OO,SDA-OO,VER-OO,WAS-OO,WIS-OO,MON-OO",7,"","",""
Neuontobotrys linearifolius,established,8,85,CLN,"",7,71,ABT,ABT-OO,"","","",""
Neurada procumbens,invasive,"3,2,4","34,20,24,35,40,22","AFG,ALG,CHA,CYP,EGY,ERI,GST,IND,IRN,IRQ,KUW,LBS,LBY,MLI,MTN,MOR,NGR,OMA,PAK,PAL,SAU,SIN,SUD,TUN,WSA,YEM",",MOR-MO",5,50,"NTA,SOA","NTA-OO,SOA-OO",2,21,CNY,""
Neurolaena lobata,established,"8,7","81,80,83,82,79","BAH,BLZ,BOL,CLM,COS,CUB,DOM,ECU,ELS,FRG,GUA,HAI,HON,JAM,LEE,MXC,MXG,MXE,MXT,MXS,NIC,PAN,PER,PUE,SUR,TRT,TCI,VEN,VNA,WIN",",HAI-HA",6,"60,62,61","TOK,MRN,SCI","TOK-MA,MRN-GU,MRN-NM,SCI-OO","","","",""
Neustanthus phaseoloides,invasive,"4,3","41,40,43,42,36,38","AND,ASS,BAN,BIS,BOR,CBD,CHC,CHS,EHM,IND,JAW,LAO,MLY,MOL,MYA,NEP,NWG,NCB,PHI,SOL,SRL,SUL,TAI,THA,VIE,CHH,",",AND-AN,ASS-AS,EHM-BH,BOR-BR,CHS-GD,CHS-GX,CHC-YN,CHS-ZJ,CHS-HK,NWG-PN","2,5,4,6,8,3,7","26,50,23,22,42,29,60,83,84,36,61,80,82,62,40,79,81,38,63","ANG,QLD,BUR,BEN,IVO,CMN,ZAI,CON,XMS,GHA,LBR,MAU,NGA,SIE,GGI,REU,ROD,SAM,BOL,BZN,BZE,BZL,BZC,BZS,CHS,CHC,COO,CLM,COS,EQG,FRG,MRN,GUY,SRL,MXT,MXG,MOZ,LEE,NIC,PUE,MRQ,SCI,MLY,SUR,SEY,TAI,HAW,VEN,ECU,PER","ANG-OO,QLD-QU,BUR-OO,BEN-OO,IVO-OO,CMN-OO,ZAI-OO,CON-OO,XMS-OO,GHA-OO,LBR-OO,MAU-OO,NGA-OO,SIE-OO,000-06,REU-OO,ROD-OO,SAM-AS,BOL-OO,BZN-AC,BZN-AM,BZN-AP,BZE-BA,BZL-ES,BZC-GO,BZE-MA,BZL-MG,BZC-MT,BZN-PA,BZE-PE,BZL-RJ,BZN-RO,BZN-RM,BZS-RS,BZL-SP,BZN-TO,CHS-ZJ,CHS-GD,CHS-GX,CHC-YN,CHS-HK,COO-OO,CLM-OO,COS-OO,EQG-OO,FRG-OO,MRN-GU,GUY-OO,SRL-OO,MXT-CI,MXT-TB,MXG-VC,MOZ-OO,LEE-MO,NIC-OO,PUE-OO,MRQ-OO,SCI-OO,MLY-SI,SUR-OO,SEY-OO,TAI-OO,HAW-HI,LEE-VI,VEN-OO,ECU-OO,PER-OO","4,8,6,2,7","42,80,81,63,60,61,83,22,82,40,79,43","MLY,COS,PUE,LEE,HAW,FIJ,,NWC,NUE,GAL,IVO,FRG,MDV,PAN,NWG,SOL","MLY-SI,,LEE-VI,NWG-PN"
Neyraudia reynaudiana,invasive,"4,3","41,40,36,42,38","AND,ASS,BAN,CBD,CHN,CHC,CHS,EHM,CHH,JAW,LAO,LSI,MLY,MYA,NEP,NCB,SUL,TAI,THA,CHT,VIE,WHM,,CHX,IND,SUM",",AND-AN,ASS-AS,LSI-LS,EHM-BH,CHS-AH,CHS-FJ,CHN-GS,CHS-GD,CHS-GX,CHC-GZ,CHC-HU,CHS-HN,CHS-JS,CHS-JX,CHC-SC,CHC-YN,CHS-ZJ,CHS-HK,EHM-AP,IND-BI,ASS-MA,ASS-ME,ASS-MI,ASS-NA,EHM-SI,ASS-TR,WHM-UT,IND-WB,CHS-MA,MLY-PM","8,7","81,78","BAH,FLA","BAH-OO,FLA-OO",7,78,FLA,""
Nicandra physalodes,invasive,8,"85,83","AGW,BOL,CLC,CLN,PER","","2,5,1,8,7,3,4,6","26,50,13,81,84,71,72,36,23,20,24,21,12,10,33,11,42,40,38,25,27,14,29,79,80,51,35,31,28,60,78,76,73,75,63,74,83","ANG,NSW,QLD,SOA,VIC,WAU,BUL,BER,BZE,BZC,BZL,BZN,BZS,BRC,NSC,ONT,PEI,QUE,SAS,CHN,CHC,CHS,CHH,CHT,ZAI,EGY,ERI,CNY,SPA,ETH,FRA,GRB,IRE,TCS,HUN,2,IND,ITA,4,KEN,KOR,SRL,LES,UKR,MDG,MXE,MXN,MXT,MXS,MXC,MXG,MOZ,MAU,NAM,NFK,NIC,NET,NEP,5,CTM,OMA,MDR,KHA,RWA,ASC,STH,GGI,YUG,SWE,SWZ,TON,TAI,TAN,ALA,ARK,CAL,COL,CNT,WDC,DEL,FLA,GEO,HAW,IOW,IDA,ILL,INI,KAN,KTY,MAS,MRY,MAI,MIC,MIN,MSO,MSI,NCA,NDA,NEB,NWH,NWJ,NWY,OHI,OKL,ORE,PEN,RHO,SCA,TEN,VRG,VER,WAS,WIS,WVA,CPP,TVL,NAT,ZAM,ZIM,REU,GAL,AZO,ECU,NZN,NZS,GER","ANG-OO,NSW-NS,QLD-QU,SOA-OO,VIC-OO,WAU-WA,BUL-OO,BER-OO,BZE-AL,BZE-BA,BZE-CE,BZC-DF,BZL-ES,BZC-GO,BZL-MG,BZC-MS,BZN-PA,BZE-PB,BZE-PE,BZS-PR,BZL-RJ,BZS-SC,BZE-SE,BZL-SP,BRC-OO,NSC-OO,ONT-OO,PEI-OO,QUE-OO,SAS-OO,CHN-HB,CHC-HU,CHS-GX,CHH-OO,CHC-SC,CHC-GZ,CHC-YN,CHN-GS,CHT-OO,ZAI-OO,EGY-OO,ERI-OO,CNY-OO,SPA-SP,ETH-OO,FRA-FR,GRB-OO,IRE-NI,TCS-GR,HUN-OO,000-02,IND-AP,IND-GU,IND-MR,IND-TN,ITA-IT,FRA-CI,000-04,KEN-OO,KOR-SK,SRL-OO,LES-OO,UKR-MO,MDG-OO,MXE-AG,000-08,MXE-CU,MXT-CI,MXS-CL,MXS-GR,MXE-HI,MXS-JA,MXC-ME,MXS-MI,MXC-MO,MXS-NA,MXS-OA,MXC-PU,MXE-QU,MXN-SI,MXE-SL,MXN-SO,MXE-TA,MXG-VC,MXE-ZA,MOZ-OO,MAU-OO,NAM-OO,NFK-NI,NIC-OO,NET-OO,NEP-OO,000-05,CTM-OO,OMA-OO,MDR-OO,KHA-OO,RWA-OO,ASC-OO,STH-OO,000-06,YUG-SL,SWE-OO,SWZ-OO,TON-OO,TAI-OO,TAN-OO,UKR-UK,ALA-OO,ARK-OO,CAL-OO,COL-OO,CNT-OO,WDC-OO,DEL-OO,FLA-OO,GEO-OO,HAW-HI,IOW-OO,IDA-OO,ILL-OO,INI-OO,KAN-OO,KTY-OO,MAS-OO,MRY-OO,MAI-OO,MIC-OO,MIN-OO,MSO-OO,MSI-OO,NCA-OO,NDA-OO,NEB-OO,NWH-OO,NWJ-OO,NWY-OO,OHI-OO,OKL-OO,ORE-OO,PEN-OO,RHO-OO,SCA-OO,TEN-OO,VRG-OO,VER-OO,WAS-OO,WIS-OO,WVA-OO,CPP-EC,TVL-GA,NAT-OO,TVL-NP,TVL-MP,TVL-NW,CPP-WC,ZAM-OO,ZIM-OO,MXN-BC,REU-OO,GAL-OO,AZO-OO,ECU-OO,NZN-OO,NZS-OO,GER-OO","2,8,3,4,1,7","26,81,36,24,40,25,14,35,23,","ZIM,BER,,ETH,IND,KEN,BLT,OMA,RWA,TAN,UGA,ZAM",",BLT-LA"
Nicoteba betonica,established,"2,4","26,40,27,24,25,22,23","ANG,BAN,BOT,CPP,ETH,IND,KEN,NAT,MLW,MLI,MOZ,NAM,TVL,SEN,SRL,SUD,SWZ,TAN,UGA,ZAM,ZAI,ZIM","","5,8,6,2","50,80,61,29,63","NSW,QLD,COS,NIC,PAN,TUB,SCI,SEY,HAW","NSW-NS,QLD-QU,COS-OO,NIC-OO,PAN-OO,TUB-OO,SCI-OO,SEY-OO,HAW-HI","","","",""
Nicotiana acuminata,established,"8,7","85,79","AGW,AGS,CLC,CLN,CLS,MXN","",7,"76,73","CAL,NEV,ORE,WAS","CAL-OO,NEV-OO,ORE-OO,WAS-OO","","","",""
Nicotiana alata,established,8,"85,84","AGE,BZS,BZL,PAR,URU","","7,3,1,5,8","71,72,36,12,13,51,38,14,76,75,73,83","BRC,QUE,CHN,CHM,CHS,SPA,YUG,5,TAI,UKR,CAL,CNT,MAS,MAI,NWY,OHI,PEN,WAS,BOL,NZN","BRC-OO,QUE-OO,CHN-BJ,CHM-HJ,CHS-JS,SPA-SP,YUG-CR,000-05,TAI-OO,UKR-UK,CAL-OO,CNT-OO,MAS-OO,MAI-OO,NWY-OO,OHI-OO,PEN-OO,WAS-OO,BOL-OO,NZN-OO","","","",""
